route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10,10-Holiday1-1-2025_5-0000001,3936551,Conestoga College via Mill,1,380719,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936552,Conestoga College via Mill,1,380718,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936553,Conestoga College via Mill,1,380721,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936554,Conestoga College via Mill,1,380720,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936555,Conestoga College via Mill,1,380722,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936556,Conestoga College via Mill,1,380722,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936557,Conestoga College via Mill,1,380719,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936558,Conestoga College via Mill,1,380719,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936559,Conestoga College via Mill,1,380718,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936560,Conestoga College via Mill,1,380722,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936561,Conestoga College via Mill,1,380721,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936562,Conestoga College via Mill,1,380718,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936563,Conestoga College via Mill,1,380720,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936564,Conestoga College via Mill,1,380720,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936565,Conestoga College via Mill,1,380721,100014,1,1
10,10-Holiday1-1-2025_5-0000001,3936566,Fairway Station via Mill,0,380721,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936567,Fairway Station via Mill,0,380720,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936568,Fairway Station via Mill,0,380722,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936569,Fairway Station via Mill,0,380719,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936570,Fairway Station via Mill,0,380718,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936571,Fairway Station via Mill,0,380721,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936572,Fairway Station via Mill,0,380720,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936573,Fairway Station via Mill,0,380722,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936574,Fairway Station via Mill,0,380719,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936575,Fairway Station via Mill,0,380718,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936576,Fairway Station via Mill,0,380721,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936577,Fairway Station via Mill,0,380720,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936578,Fairway Station via Mill,0,380722,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936579,Fairway Station via Mill,0,380719,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936580,Fairway Station via Mill,0,380718,100010,1,1
10,10-Holiday1-1-2025_5-0000001,3936581,Fairway Station via Mill,0,380721,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001961,Conestoga College via Mill,1,384057,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001962,Conestoga College via Mill,1,384056,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001963,Conestoga College via Mill,1,384059,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001964,Conestoga College via Mill,1,384058,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001965,Conestoga College via Mill,1,384060,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001966,Conestoga College via Mill,1,384060,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001967,Conestoga College via Mill,1,384057,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001968,Conestoga College via Mill,1,384057,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001969,Conestoga College via Mill,1,384056,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001970,Conestoga College via Mill,1,384060,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001971,Conestoga College via Mill,1,384059,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001972,Conestoga College via Mill,1,384056,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001973,Conestoga College via Mill,1,384058,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001974,Conestoga College via Mill,1,384058,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001975,Conestoga College via Mill,1,384059,100014,1,1
10,10-Holiday1-1-2026_1-0000001,4001976,Fairway Station via Mill,0,384059,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001977,Fairway Station via Mill,0,384058,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001978,Fairway Station via Mill,0,384060,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001979,Fairway Station via Mill,0,384057,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001980,Fairway Station via Mill,0,384056,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001981,Fairway Station via Mill,0,384059,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001982,Fairway Station via Mill,0,384058,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001983,Fairway Station via Mill,0,384060,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001984,Fairway Station via Mill,0,384057,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001985,Fairway Station via Mill,0,384056,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001986,Fairway Station via Mill,0,384059,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001987,Fairway Station via Mill,0,384058,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001988,Fairway Station via Mill,0,384060,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001989,Fairway Station via Mill,0,384057,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001990,Fairway Station via Mill,0,384056,100010,1,1
10,10-Holiday1-1-2026_1-0000001,4001991,Fairway Station via Mill,0,384059,100010,1,1
10,10-Holiday3-2-2025_5-0000001,3952915,Conestoga College via Mill,1,381875,100014,1,1
10,10-Holiday3-2-2025_5-0000001,3952916,Conestoga College via Mill,1,381874,100014,1,1
10,10-Holiday3-2-2025_5-0000001,3952917,Conestoga College via Mill,1,381877,100014,1,1
10,10-Holiday3-2-2025_5-0000001,3952918,Conestoga College via Mill,1,381876,100014,1,1
10,10-Holiday3-2-2025_5-0000001,3952919,Conestoga College via Mill,1,381878,100014,1,1
10,10-Holiday3-2-2025_5-0000001,3952920,Conestoga College via Mill,1,381878,100014,1,1
10,10-Holiday3-2-2025_5-0000001,3952921,Conestoga College via Mill,1,381875,100014,1,1
10,10-Holiday3-2-2025_5-0000001,3952922,Conestoga College via Mill,1,381875,100014,1,1
10,10-Holiday3-2-2025_5-0000001,3952923,Conestoga College via Mill,1,381874,100014,1,1
10,10-Holiday3-2-2025_5-0000001,3952924,Conestoga College via Mill,1,381878,100014,1,1
10,10-Holiday3-2-2025_5-0000001,3952925,Conestoga College via Mill,1,381877,100014,1,1
